arm,model,domain,group,category,repeat,run_id,onsite_fetch_attempts,ok_onsite_fetches,blocked_onsite_fetches,errored_onsite_fetches,got_content,first_party_answer,used_external,searches,scoped_searches,open_searches,external_fetches,ok_external_fetches,fp_evidence_chars,tp_evidence_chars,firstparty_evidence_share,onsite_retrieval_share,turns,cost_usd,duration_s,outcome,answer_chars,stratum,endorse_strength_claude,endorse_reason_claude,endorse_strength_gpt,endorse_reason_gpt,antirec_reason,antirec_punts_to_source,antirec_outside_sourced,antirec_access_disclaimer,antirec_staleness_memory,antirec_vague_noncommittal,attr_first_party_grounding,attr_external_share,attr_search_share,attr_memory_leak,acc_n_facts,acc_n_correct,acc_n_partial,acc_n_incorrect,acc_n_not_addressed,acc_no_answer
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,pricing,1,08febf6f-4add-48b0-a679-29109818dfb5,1,1,0,0,1,1,0,0,0,0,0,0,1135,0,1.0,1.0,3,0.247811,21.4,success,1635,roster,4,"Concrete pricing tiers, per-user costs, and feature breakdowns provided confiden",3,"Concrete tier names and prices, but no source cues or verification.",clean,0,0,0,0,0,,,,,5,4,0,1,0,0
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,pricing,3,81f7566e-ecd2-4127-b8e9-42a5491961bf,1,1,0,0,1,1,0,0,0,0,0,0,1112,0,1.0,1.0,3,0.247777,21.1,success,1608,roster,3,Concrete pricing tiers with feature details; minor uncertainty noted.,2,"Concrete tier prices and features, but hedged with appears and contact sales.",clean,0,0,0,0,0,,,,,5,3,0,1,1,0
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,pricing,2,c1b95334-32c0-47b7-b6a2-0f38e7501e90,1,1,0,0,1,1,0,0,0,0,0,0,1193,0,1.0,1.0,3,0.247796,21.6,success,1671,roster,2,Specific prices given but likely fabricated; no verification noted.,3,"Concrete tier names and prices, but no sourcing or freshness cues.",clean,0,0,0,0,0,,,,,5,4,0,1,0,0
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,features,1,316b8e4f-c253-4235-8881-d109017dad9e,2,2,0,0,1,1,0,0,0,0,0,0,2630,0,1.0,1.0,5,0.271055,33.4,success,1964,roster,4,"Concrete pricing, feature names, API limits, and plan tiers cited confidently.",3,"Concrete features, pricing, and limits; solid specifics but unverified freshness",clean,0,0,0,0,0,,,,,18,12,4,0,2,0
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,features,3,3904ae9d-89b8-476f-a296-26be36f480e6,2,2,0,0,1,1,0,0,0,0,0,0,3070,0,1.0,1.0,5,0.069881,38.7,success,1822,roster,4,"Concrete pricing, feature names, limits, and tier breakdowns from first-party da",2,"Concrete feature and pricing specifics, but framed as a summary.",clean,0,0,0,0,0,,,,,18,12,4,0,2,0
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,features,2,c6ffcbc7-f6f2-4ab3-a2bb-0ffad0a96e9c,2,2,0,0,1,1,0,0,0,0,0,0,2632,0,1.0,1.0,5,0.069231,38.4,success,1974,roster,4,"Concrete pricing, feature tiers, and restrictions with specific first-party deta",3,"Concrete feature and pricing specifics, but framed as a summary.",clean,0,0,0,0,0,,,,,18,13,3,0,2,0
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,setup,3,33ded984-82d7-4292-86dd-503d889304a5,5,3,2,0,1,1,0,0,0,0,0,0,1979,0,1.0,1.0,7,0.098206,33.3,success,1709,roster,2,Plausible but unverifiable specifics; hedged sourcing undermines first-party con,2,"Concrete onboarding steps, but framed second-hand and lacks direct citations.",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,setup,2,6e990929-14f2-49f2-9766-f608a1f9758d,7,5,2,0,1,1,0,1,1,0,0,0,5027,4985,0.5021,0.8333,10,0.145961,74.0,success,3237,roster,3,"Concrete onboarding steps and timeline, but sources include third-party sites.",3,Concrete onboarding steps and links; partly second-hand with one external source,"Sources include third-party site bardeen.ai, not just affinity.co",0,1,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affinity.co,ax-high,setup,1,6f4233ee-347a-4099-b5db-d29a4dce0cae,6,5,1,0,1,1,0,0,0,0,0,0,8447,0,1.0,1.0,9,0.135752,62.5,success,2111,roster,4,"Detailed, structured onboarding steps with specific tutorial names and tiers.",2,"Specific onboarding steps, but second-hand summary and some vague tier descripti",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,pricing,3,3deea23d-cf38-41fe-979a-932f86023529,2,1,1,0,1,0,1,1,0,1,0,0,491,3360,0.1275,0.5,6,0.067365,42.3,success,1843,roster,3,"Concrete specifics on plans, rates, fees; clarifies no subscription exists.",2,"Directly answers no subscription, but relies on third-party sources.","Sources are third-party review sites, not Affirm itself.",0,1,0,0,0,,,,,3,2,0,0,1,0
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,pricing,2,66b728c7-a573-45fa-9ccc-011c684e8103,3,2,1,0,1,1,0,1,1,0,0,0,1396,3525,0.2837,0.6667,6,0.396015,45.2,success,2102,roster,3,"Concrete BNPL terms given; merchant pricing vague, requires contact.",2,"Concrete pricing summary, but relies on third-party sources and not first-party.","Sources are third-party aggregators, not Affirm's own site.",0,1,0,0,0,,,,,3,1,2,0,0,0
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,pricing,1,c8c511ae-5425-413c-b0bc-0ecd93892c4d,3,2,1,0,1,1,0,0,0,0,0,0,1521,0,1.0,1.0,6,0.349844,31.6,success,1471,roster,3,Concrete pricing details with APR ranges and specific product names provided.,2,"Gives some pricing specifics, but framed as research and partly generic.",clean,0,0,0,0,0,,,,,3,2,1,0,0,0
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,features,3,374a2ff7-9f2b-4f0f-9f0e-68c53e1c01f1,5,2,0,3,1,1,0,0,0,0,0,0,2231,0,1.0,1.0,9,0.112202,42.9,success,2283,roster,2,Claims live site access but date '2026' and unverifiable specifics undermine cre,4,"Concrete current website specifics on features, rates, eligibility, restrictions",Help center inaccessible disclaimer noted in Notable Gap section,0,0,1,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,features,2,71399eba-7715-4a0e-b4d8-6ba881c1060f,2,2,0,0,1,1,0,0,0,0,0,0,2107,0,1.0,1.0,5,0.068342,31.5,success,1755,roster,3,Concrete features and limits listed with mostly first-party specifics.,2,"Concrete feature list, but vague caveats and likely non-first-party specifics.",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,features,1,cd278713-fe44-468e-ba30-ed2d8bbcac5f,5,3,0,2,1,1,0,0,0,0,0,0,3327,0,1.0,1.0,8,0.303502,44.0,success,2093,roster,2,Plausible specifics but unverified; agent likely didn't actually access affirm.c,2,"Concrete features listed, but vague sourcing and some generalized restrictions.",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,setup,2,266ba9b0-a7fa-441f-ac28-be4c9efa1248,4,2,1,1,1,1,0,0,0,0,0,0,1420,0,1.0,1.0,6,0.077297,33.9,success,1536,roster,2,Plausible steps but agent cannot actually browse affirm.com,2,"Concrete onboarding steps, but lacks direct first-hand site-specific evidence.",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,setup,1,350a7302-6c78-4698-a030-befe2ada0907,5,3,0,2,1,0,1,2,1,1,0,0,2689,9546,0.2198,0.6,10,0.137157,98.6,success,2228,roster,3,Concrete steps with specifics; minor uncertainty on current details.,2,"Concrete onboarding steps, but mixed sources and some non-first-party details.",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,affirm.com,ax-low,setup,3,e6b7578f-8b05-4a40-b20c-7b372c2b7340,3,1,0,2,1,1,0,0,0,0,0,0,793,0,1.0,1.0,5,0.066693,23.9,success,1648,roster,0,Agent cannot browse websites; answer fabricated without reading affirm.com,2,"Concrete steps given, but framed as summary and includes possible assumptions.",clean,0,0,0,0,0,,,,,,,,,,
vanilla-claude-agent,claude-sonnet-4-6,ahrefs.com,ax-high,pricing,1,4c315715-19ec-4b88-9f44-53c70fb661dc,1,1,0,0,1,1,0,0,0,0,0,0,1197,0,1.0,1.0,3,0.248118,22.8,success,1401,roster,3,Concrete pricing and plan details with minor uncertainty markers.,2,"Concrete prices and tiers, but no sourcing and some estimated annual costs",clean,0,0,0,0,0,,,,,10,5,1,0,4,0
vanilla-claude-agent,claude-sonnet-4-6,ahrefs.com,ax-high,pricing,3,8d249c5a-560b-4fec-801b-0613091cb2e5,1,1,0,0,1,1,0,0,0,0,0,0,943,0,1.0,1.0,3,0.247822,20.1,success,1505,roster,4,"Concrete pricing tiers, limits, and budget recommendations provided confidently.",4,"Concrete plan names, prices, features, and direct budget recommendations.",clean,0,0,0,0,0,,,,,10,6,0,0,4,0
